Full Name,Player_id,Points,Popularity Index,Grand Slam
Iga Swiatek,216347,8940,1,1
Martina Trevisan,203354,1667,0.637848201,1
Diane Parry,220348,764,0.485493231,1
Linda Fruhvirtova,222258,963,0.518914333,1
Magda Linette,202663,1825,0.695169124,1
Barbora Strycova,201366,45,0.45,1
Danielle Collins,203389,1073,0.622849372,1
Katie Swan,215042,431,0.45,1
Daria Kasatkina,214082,3275,0.73201116,1
Jodie Burrage,214839,607,0.45,1
Nadia Podoroska,206408,639,0.45,1
Yue Yuan,206294,584,0.45,1
Elise Mertens,210722,1439,0.607734163,1
Venus Williams,200748,43,0.45,1
Storm Sanders,204411,346,0.45,1
Sofia Kenin,213550,568,0.45,1
Jessica Pegula,202468,5205,0.732269465,1
Cristina Bucsa,213710,820,0.515602125,1
Camila Osorio,215785,739,0.477247499,1
Rebeka Masarova,214119,816,0.510367249,1
Qinwen Zheng,221012,1998,0.613532896,1
Lesia Tsurenko,201615,883,0.516863258,1
Alycia Parks,219917,1097,0.622641939,1
Ana Bogdan,202536,918,0.520362335,1
Veronika Kudermetova,206368,2950,0.753451598,1
Marketa Vondrousova,214954,936,0.543040728,1
Sloane Stephens,201585,1360,0.72406255,1
Shuai Zhang,201533,1355,0.710403031,1
Marie Bouzkova,213631,1318,0.584630726,1
Anett Kontaveit,204426,779,0.507804961,1
Kateryna Baindl,203462,748,0.494120202,1
Katie Volynets,220465,690,0.455354425,1
Ons Jabeur,202460,3541,0.728143449,1
Ysaline Bonaventure,204434,746,0.464839153,1
Anna Bondar,214388,635,0.45,1
Jessica Bouzas Maneiro,222601,411,0.45,1
Karolina Pliskova,201662,2160,0.803520262,1
Carol Zhao,203475,402,0.45,1
Aliaksandra Sasnovich,205925,1034,0.612810205,1
Jasmine Paolini,211148,1005,0.517117879,1
Beatriz Haddad Maia,206242,2420,0.716188261,1
Jaqueline Cristian,211713,540,0.45,1
Sorana Cirstea,201514,1327,0.584404162,1
Greet Minnen,213889,569,0.45,1
Bernarda Pera,211095,1284,0.579420487,1
Katie Boulter,211107,546,0.45,1
Nao Hibino,211702,589,0.45,1
Shelby Rogers,201603,1303,0.592214906,1
Maria Sakkari,206289,3391,0.69754444,1
Alison Riske Amritraj,201590,741,0.471449633,1
Viktorija Golubic,203530,545,0.45,1
Sonay Kartal,222661,244,0.45,1
Anastasia Potapova,215713,1665,0.621665391,1
Kaja Juvan,215219,321,0.45,1
Mirra Andreeva,259799,481,0.45,1
Heather Watson,201586,398,0.45,1
Karolina Muchova,214096,1125,0.59210564,1
Linda Noskova,222328,1050,0.518161169,1
Madison Brengle,201483,677,0.489436138,1
Emma Navarro,215613,790,0.511279974,1
Irina Camelia Begu,201593,1452,0.639152112,1
Yanina Wickmayer,201518,488,0.45,1
Varvara Gracheva,219875,1147,0.553865859,1
Panna Udvardy,215910,675,0.481798491,1
Lin Zhu,202684,1175,0.56244757,1
Sara Sorribes Tormo,204427,529,0.45,1
Harriet Dart,211279,521,0.45,1
Petra Martic,201549,1270,0.649202846,1
Jil Teichmann,213525,785,0.512806814,1
Maryna Zanevska,202628,717,0.488529173,1
Julia Grabher,211814,929,0.521720156,1
Belinda Bencic,202505,2750,0.722984579,1
Caroline Dolehide,214452,665,0.45,1
Caty McNally,216083,979,0.521042891,1
Tereza Martincova,206124,683,0.456331251,1
Victoria Azarenka,201458,2087,0.663382338,1
Viktoria Hruncakova,1,#N/A,0.45,1
Elina Svitolina,202494,367,0.45,1
Xinyu Wang,2,#N/A,0.45,1
Cori Gauff,221103,4305,0.725907758,1
Lauren Davis,201616,1021,0.538531331,1
Kamilla Rakhimova,215872,750,0.494729624,1
Elisabetta Cocciaretto,220714,1115,0.644550526,1
Mayar Sherif,210886,990,0.542255896,1
Katerina Siniakova,211701,1057,0.626661778,1
Claire Liu,214906,659,0.45,1
Anna Lena Friedsam,204431,698,0.481520684,1
Liudmila Samsonova,214643,2236,0.706763098,1
Kaia Kanepi,201466,797,0.508850233,1
Peyton Stearns,220548,851,0.512522678,1
Rebecca Peterson,202490,730,0.489882047,1
Donna Vekic,202499,1813,0.662308785,1
Simona Waltert,215899,540,0.45,1
Lucrezia Stefanini,214593,620,0.45,1
Leylah Fernandez,220367,1052,0.533448011,1
Caroline Garcia,201614,5025,0.787230145,1
Magdalena Frech,211684,720,0.505916894,1
Zhuoxuan Bai,222296,345,0.45,1
Bianca Andreescu,215370,1142,0.623095426,1
Anhelina Kalinina,211843,1657,0.630015652,1
Natalija Stevanovic,210337,331,0.45,1
Tamara Korpatsch,211337,576,0.45,1
Nuria Parrizas Diaz,203463,679,0.468907394,1
Petra Kvitova,201520,3162,0.994330694,1
Yulia Putintseva,201709,975,0.523771963,1
Lucia Bronzetti,214459,902,0.538494555,1
Tatjana Maria,213583,855,0.513057081,1
Jelena Ostapenko,211533,2130,0.717391845,1
Viktoriya Tomova,202600,809,0.510843482,1
Daria Saville,201611,514,0.45,1
Alize Cornet,201427,920,0.536287073,1
Elena Rybakina,214981,5090,0.719777672,2
Marta Kostyuk,216146,1225,0.558108715,3
Paula Badosa,211651,1363,0.593640024,4
Anna Karolina Schmiedlova,203533,666,0.467536638,5
Madison Keys,201619,1861,0.670309973,6
Celine Naef,232447,353,0.45,7
Margarita Betova,4,4,0.45,8
Xiyu Wang,216016,909,0.607318329,9
Barbora Krejcikova,206252,2680,0.663048969,10
Jule Niemeier,215898,789,0.515543437,11
Dalma Galfi,213646,674,0.453207854,12
Sara Errani,201506,802,0.510411701,13
Ekaterina Alexandrova,206420,1725,0.639841712,14
Rebecca Marino,201606,758,0.500966011,15
Anna Blinkova,215020,983,0.542970558,16
Camila Giorgi,202429,1278,0.578582768,17
Aryna Sabalenka,214544,7541,0.777996661,18
