,tourney_id,tourney_name,surface,draw_size,grand_slam,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,winner_aces,winner_double_faults,winner_service_pts,winner_1st_serve_in,winner_1st_serve_pt_win,winner_2nd_serve_pt_win,winner_serve_games,winner_breaks_saved,winner_breaks_faced,loser_aces,loser_double_faults,loser_service_pts,loser_1st_serve_in,loser_1st_serve_pt_win,loser_2nd_serve_pt_win,loser_serve_games,loser_breaks_saved,loser_breaks_faced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,revenue
1,2013-580,Australian Open,Hard,128,1,14/01/2013,1,104925,1,,Novak Djokovic,R,188,SRB,25.6,103908,NA,,Paul Henri Mathieu,R,185,FRA,31,6-2 6-4 7-5,5,R128,102,9,2,77,49,41,21,15,3,3,5,4,86,58,42,11,15,3,7,1,12920,60,763,NA
2,2013-580,Australian Open,Hard,128,1,14/01/2013,2,105992,NA,,Ryan Harrison,R,183,USA,20.6,105053,NA,,Santiago Giraldo,R,188,COL,25.1,2-6 6-4 7-5 6-4,5,R128,157,10,2,116,69,46,29,20,9,14,3,3,131,91,61,17,20,6,12,62,754,64,743,NA
3,2013-580,Australian Open,Hard,128,1,14/01/2013,3,103852,NA,,Feliciano Lopez,L,188,ESP,31.3,104516,NA,Q,Arnau Brugues Davi,L,183,ESP,27.8,6-3 6-2 6-4,5,R128,84,26,3,75,48,43,16,14,2,2,3,2,81,41,27,22,13,6,10,42,1005,198,241,NA
4,2013-580,Australian Open,Hard,128,1,14/01/2013,4,103285,31,,Radek Stepanek,R,185,CZE,34.1,104678,NA,,Viktor Troicki,R,193,SRB,26.9,5-7 4-6 6-3 6-3 7-5,5,R128,239,3,9,167,110,72,30,26,12,18,16,4,172,104,69,30,26,13,21,34,1090,37,1030,NA
5,2013-580,Australian Open,Hard,128,1,14/01/2013,5,105023,20,,Sam Querrey,R,198,USA,25.2,103926,NA,Q,Daniel Munoz de la Nava,L,178,ESP,30.9,6-7(2) 6-4 6-2 6-4,5,R128,133,27,2,116,80,64,22,20,0,0,5,6,125,62,47,34,20,5,9,22,1650,174,305,NA
6,2013-580,Australian Open,Hard,128,1,14/01/2013,6,104548,NA,,Brian Baker,R,190,USA,27.7,104166,NA,Q,Alex Bogomolov Jr,R,178,RUS,29.7,7-6(4) 6-3 6-7(0) 3-6 6-2,5,R128,222,13,4,156,111,77,21,24,9,14,3,3,179,131,81,23,26,7,15,57,776,133,422,NA
7,2013-580,Australian Open,Hard,128,1,14/01/2013,7,104735,NA,,Tobias Kamke,R,180,GER,26.6,104262,NA,,Flavio Cipolla,R,173,ITA,29.2,6-1 6-4 6-1,5,R128,118,2,0,84,46,31,22,12,4,6,1,6,76,48,24,9,12,5,13,90,577,95,568,NA
8,2013-580,Australian Open,Hard,128,1,14/01/2013,8,104527,15,,Stan Wawrinka,R,183,SUI,27.8,105649,NA,Q,Cedrik Marcel Stebe,L,183,GER,22.2,6-2 6-4 6-3,5,R128,89,3,1,82,52,39,21,14,2,2,0,2,72,48,27,15,13,5,9,17,1900,164,327,NA
9,2013-580,Australian Open,Hard,128,1,14/01/2013,9,105723,NA,,Andrey Kuznetsov,R,185,RUS,21.8,104338,11,,Juan Monaco,R,185,ARG,28.7,7-6(3) 6-1 6-1,5,R128,115,5,7,99,53,36,21,13,8,12,1,3,75,46,16,14,13,6,15,79,660,12,2430,NA
10,2013-580,Australian Open,Hard,128,1,14/01/2013,10,104731,NA,,Kevin Anderson,R,203,RSA,26.6,103893,NA,,Paolo Lorenzi,R,183,ITA,31,3-6 7-6(3) 6-3 6-4,5,R128,174,9,2,134,101,74,18,21,4,7,5,3,127,83,63,19,19,5,8,31,1170,59,769,NA
11,2013-580,Australian Open,Hard,128,1,14/01/2013,11,103598,NA,,Xavier Malisse,R,185,BEL,32.4,104665,NA,,Pablo Andujar,R,180,ESP,26.9,6-3 6-1 6-2,5,R128,113,6,0,72,45,35,18,12,4,4,1,5,86,49,32,12,12,6,12,55,791,45,915,NA
12,2013-580,Australian Open,Hard,128,1,14/01/2013,12,104269,22,,Fernando Verdasco,L,188,ESP,29.1,105676,NA,,David Goffin,R,180,BEL,22.1,6-3 3-6 4-6 6-3 6-4,5,R128,202,5,9,141,84,61,30,24,8,13,6,12,129,79,56,22,23,3,9,24,1445,49,843,NA
13,2013-580,Australian Open,Hard,128,1,14/01/2013,13,103781,26,,Jurgen Melzer,L,183,AUT,31.6,105062,NA,,Mikhail Kukushkin,R,183,KAZ,25,6-1 6-1 6-2,5,R128,82,10,2,63,42,34,12,11,2,2,1,4,73,40,18,13,11,9,16,29,1177,105,526,NA
14,2013-580,Australian Open,Hard,128,1,14/01/2013,14,105138,NA,,Roberto Bautista Agut,R,183,ESP,24.7,104926,NA,,Fabio Fognini,R,178,ITA,25.6,6-0 2-6 6-4 3-6 6-1,5,R128,149,1,7,122,77,49,26,20,4,9,6,5,129,74,45,25,20,10,18,56,786,47,880,NA
