"","player_id","name_first","name_last","hand","dob","ioc","height","wikidata_id"
"1",100644,"Alexander","Zverev","R",1997-04-20,"GER",198,"Q4189526"
"2",101680,"Zeeshan","Ali","R",1970-01-01,"IND",180,"Q184419"
"3",101681,"Chris","Wilkinson","R",1970-01-05,"GBR",180,"Q1077858"
"4",101682,"David","Adams","R",1970-01-05,"RSA",188,"Q586939"
"5",101683,"Donavan","September","R",1970-01-05,"RSA",NA,""
"6",101684,"Gabor","Koves","R",1970-01-07,"HUN",188,"Q540484"
"7",101685,"Markus","Naewie","R",1970-01-07,"GER",190,"Q104228"
"8",101686,"Franco","Davin","L",1970-01-11,"ARG",173,"Q529577"
"9",101687,"David","Dilucia","R",1970-01-15,"USA",173,"Q5232955"
"10",101688,"Geoff","Grant","R",1970-01-16,"USA",183,"Q5534148"
"11",101689,"Michael","Noel","R",1970-01-21,"USA",NA,""
"12",101690,"Juan Carlos","Bianchi","R",1970-01-22,"VEN",NA,"Q5948190"
"13",101691,"Florian","Krumrey","R",1970-01-27,"GER",190,"Q83659244"
"14",101692,"Tim","Jessup","R",1970-01-28,"USA",NA,""
"15",101693,"James","Lenton","R",1970-01-29,"GBR",NA,""
"16",101694,"David","Franco","R",1970-01-30,"ESP",NA,""
"17",101695,"David","Ekerot","L",1970-02-01,"SWE",188,"Q5233318"
"18",101696,"Federico","Mordegan","R",1970-02-01,"ITA",170,"Q4178166"
"19",101697,"Remi","Dupre","R",1970-02-04,"FRA",NA,""
"20",101698,"Juan","Lavalle","R",1970-02-05,"MEX",NA,""
"21",101699,"Alois","Beust","R",1970-02-08,"FRA",NA,"Q76445608"
"22",101700,"Jeff","Belloli","R",1970-02-10,"USA",NA,"Q55759723"
"23",101701,"Bing","Pan","R",1970-02-13,"CHN",185,"Q7129624"
"24",101702,"Michael","De Jongh","R",1970-02-13,"RSA",NA,""
"25",101703,"Guillaume","Raoux","R",1970-02-14,"FRA",180,"Q974288"
"26",101704,"Ellis","Ferreira","L",1970-02-19,"RSA",188,"Q512302"
"27",101705,"Andy","Schrecker","R",1970-02-20,"USA",NA,""
