,wta_rank,player,popularity,popularity_rank,,,,,,,,,,,
1,1,216347,1.000,1,,,,,,,,,,,
2,2,214544,0.778,5,,,,,,,,,,,
3,3,202468,0.732,7,,,,,,,,,,,
4,4,214981,0.720,13,,,,,,,,,,,
5,5,201614,0.787,4,,,,,,,,,,,
6,6,221103,0.726,10,,,,,,,,,,,
7,7,202460,0.728,9,,,,,,,,,,,
8,8,206289,0.698,19,,,,,,,,,,,
9,9,214082,0.732,8,,,,,,,,,,,
10,10,201520,0.994,2,,,,,,,,,,,
11,11,206368,0.753,6,,,,,,,,,,,
12,12,202505,0.723,12,,,,,,,,,,,
13,13,206252,0.663,23,,,,,,,,,,,
14,14,206242,0.716,15,,,,,,,,,,,
15,15,214643,0.707,18,,,,,,,,,,,
16,16,201662,0.804,3,,,,,,,,,,,
17,17,211533,0.717,14,,,,,,,,,,,
18,18,201458,0.663,22,,,,,,,,,,,
19,19,221012,0.614,36,,,,,,,,,,,
20,20,201619,0.670,21,,,,,,,,,,,
21,21,202663,0.695,20,,,,,,,,,,,
22,22,202499,0.662,24,,,,,,,,,,,
23,23,206420,0.640,27,,,,,,,,,,,
24,24,203354,0.638,29,,,,,,,,,,,
25,25,215713,0.622,35,,,,,,,,,,,
26,26,211843,0.630,30,,,,,,,,,,,
27,27,201593,0.639,28,,,,,,,,,,,
28,28,210722,0.608,38,,,,,,,,,,,
29,29,211651,0.594,40,,,,,,,,,,,
30,30,201585,0.724,11,,,,,,,,,,,
31,31,201533,0.710,17,,,,,,,,,,,
32,32,201514,0.584,44,,,,,,,,,,,
33,33,213631,0.585,43,,,,,,,,,,,
34,34,201603,0.592,41,,,,,,,,,,,
35,35,201594,0.715,16,,,,,,,,,,,
36,36,211095,0.579,45,,,,,,,,,,,
37,37,202429,0.579,46,,,,,,,,,,,
38,38,201549,0.649,25,,,,,,,,,,,
39,39,216146,0.558,48,,,,,,,,,,,
40,40,202684,0.562,47,,,,,,,,,,,
41,41,219875,0.554,49,,,,,,,,,,,
42,42,215370,0.623,32,,,,,,,,,,,
43,43,214096,0.592,42,,,,,,,,,,,
44,44,220714,0.645,26,,,,,,,,,,,
45,45,219917,0.623,34,,,,,,,,,,,
46,46,203389,0.623,33,,,,,,,,,,,
47,47,201548,0.545,50,,,,,,,,,,,
48,48,211701,0.627,31,,,,,,,,,,,
49,49,220367,0.533,57,,,,,,,,,,,
50,50,222328,0.518,64,,,,,,,,,,,
51,51,205925,0.613,37,,,,,,,,,,,
52,52,201616,0.539,54,,,,,,,,,,,
53,53,211148,0.517,65,,,,,,,,,,,
54,54,210886,0.542,53,,,,,,,,,,,
55,55,214939,0.523,59,,,,,,,,,,,
56,56,215020,0.543,52,,,,,,,,,,,
57,57,216083,0.521,61,,,,,,,,,,,
58,58,201709,0.524,58,,,,,,,,,,,
59,59,222258,0.519,63,,,,,,,,,,,
60,60,214954,0.543,51,,,,,,,,,,,
61,61,211814,0.522,60,,,,,,,,,,,
62,62,201427,0.536,56,,,,,,,,,,,
63,63,202536,0.520,62,,,,,,,,,,,
64,64,216016,0.607,39,,,,,,,,,,,
65,65,214459,0.538,55,,,,,,,,,,,
66,66,201615,0.517,66,,,,,,,,,,,
67,67,213583,0.513,70,,,,,,,,,,,
68,68,203575,0.516,67,,,,,,,,,,,
69,69,220548,0.513,72,,,,,,,,,,,
70,70,213710,0.516,68,,,,,,,,,,,
71,71,214119,0.510,76,,,,,,,,,,,
72,72,202600,0.511,74,,,,,,,,,,,
73,73,201506,0.510,75,,,,,,,,,,,
74,74,201466,0.509,77,,,,,,,,,,,
75,75,215613,0.511,73,,,,,,,,,,,
76,76,215898,0.516,69,,,,,,,,,,,
77,77,213525,0.513,71,,,,,,,,,,,
78,78,204426,0.508,78,,,,,,,,,,,
79,79,220348,0.485,88,,,,,,,,,,,
80,80,216133,0.505,80,,,,,,,,,,,
81,81,201606,0.501,82,,,,,,,,,,,
82,82,215872,0.495,83,,,,,,,,,,,
83,83,203462,0.494,84,,,,,,,,,,,
84,84,204434,0.465,96,,,,,,,,,,,
85,85,201590,0.471,93,,,,,,,,,,,
86,86,215785,0.477,91,,,,,,,,,,,
87,87,202490,0.490,85,,,,,,,,,,,
88,88,211684,0.506,79,,,,,,,,,,,
89,89,202628,0.489,87,,,,,,,,,,,
90,90,216153,0.504,81,,,,,,,,,,,
91,91,204431,0.482,90,,,,,,,,,,,
92,92,220465,0.455,99,,,,,,,,,,,
93,93,206124,0.456,98,,,,,,,,,,,
94,94,203463,0.469,94,,,,,,,,,,,
95,95,201483,0.489,86,,,,,,,,,,,
96,96,216262,0.463,97,,,,,,,,,,,
97,97,215910,0.482,89,,,,,,,,,,,
98,98,213646,0.453,100,,,,,,,,,,,
99,99,202421,0.471,92,,,,,,,,,,,
100,100,203533,0.468,95,,,,,,,,,,,
