"","player_id","name_first","name_last","hand","dob","ioc","height","wikidata_id"
"1",200001,"Martina","Hingis","R",1980-09-30,"SUI",170,"Q134720"
"2",200002,"Mirjana","Lucic","R",1982-03-09,"CRO",181,"Q239686"
"3",200003,"Justine","Henin","R",1982-06-01,"BEL",167,"Q11682"
"4",200004,"Kerry Anne","Guse","R",1972-12-04,"AUS",159,"Q516757"
"5",200006,"Karina","Habsudova","R",1973-08-02,"SVK",170,"Q269278"
"6",200007,"Silvija","Talaja","R",1978-01-14,"CRO",173,"Q271692"
"7",200008,"Alicia","Molik","R",1981-01-27,"AUS",182,"Q232922"
"8",200009,"Tamarine","Tanasugarn","R",1977-05-24,"THA",165,"Q144555"
"9",200010,"Rita","Grande","R",1975-03-23,"ITA",177,"Q264551"
"10",200011,"Katarina","Srebotnik","R",1981-03-12,"SLO",180,"Q229116"
"11",200012,"Jana","Nejedly","R",1974-06-09,"CAN",175,"Q2908430"
"12",200013,"Angelica","Gavaldon","R",1973-10-03,"MEX",NA,"Q2283377"
"13",200014,"Tzipi","Obziler","R",1973-04-19,"ISR",172,"Q867533"
"14",200015,"Petra","Mandula","R",1978-01-17,"HUN",178,"Q258965"
"15",200016,"Sandrine","Testud","R",1972-04-03,"FRA",176,"Q259026"
"16",200017,"Arantxa","Sanchez Vicario","R",1971-12-18,"ESP",168,"Q188080"
"17",200018,"Julia","Abe","R",1976-05-21,"GER",NA,"Q1503174"
"18",200019,"Alexandra","Fusai","R",1973-11-22,"FRA",176,"Q468226"
"19",200020,"Lisa","Raymond","R",1973-08-10,"USA",165,"Q10129"
"20",200021,"Alexia","Dechaume Balleret","R",1970-05-03,"FRA",NA,"Q748769"
"21",200022,"Emmanuelle","Gagliardi","R",1976-07-09,"SUI",171,"Q254686"
"22",200023,"Bryanne","Stewart","R",1979-12-09,"AUS",174,"Q456729"
"23",200024,"Maria","Vento Kabchi","R",1974-05-24,"VEN",168,"Q254260"
"24",200025,"Ludmila","Cervanova","R",1979-10-15,"SVK",171,"Q591648"
"25",200026,"Florencia","Labat","L",1971-06-12,"ARG",170,"Q455165"
"26",200027,"Magui","Serna","L",1979-03-01,"ESP",167,"Q271740"
"27",200028,"Maureen","Drake","R",1971-03-21,"CAN",175,"Q2777538"
"28",200029,"Lisa","Mcshea","R",1974-10-29,"AUS",174,"Q3242430"
"29",200030,"Miroslava","Vavrinec","R",1978-04-01,"SUI",173,"Q233306"
"30",200031,"Meilen","Tu","R",1978-01-17,"USA",163,"Q265572"
"31",200032,"Barbara","Schett","R",1976-03-10,"AUT",176,"Q259647"
"32",200033,"Serena","Williams","R",1981-09-26,"USA",175,"Q11459"
"33",200034,"Amanda","Grahame","L",1979-03-25,"AUS",NA,"Q33027005"
"34",200035,"Maria","Sanchez Lorenzo","R",1977-11-07,"ESP",171,"Q522197"
"35",200036,"Nicole","Pratt","R",1973-03-05,"AUS",163,"Q271711"
"36",200037,"Sabine","Appelmans","L",1972-04-22,"BEL",168,"Q239791"
"37",200038,"Annabel","Ellwood","R",1978-02-02,"AUS",165,"Q2382889"
"38",200039,"Chanda","Rubin","R",1976-02-18,"USA",168,"Q237894"
"39",200040,"Anna","Smashnova","R",1976-07-16,"ISR",157,"Q233521"
"40",200041,"Amy","Frazier","R",1972-09-19,"USA",175,"Q254340"
"41",200042,"Els","Callens","R",1970-08-20,"BEL",178,"Q260112"
"42",200043,"Virginie","Razzano","R",1983-05-12,"FRA",173,"Q220425"
