rank,player,points,tours
1,216347,8940,17
2,214544,7541,18
3,202468,5205,17
4,214981,5090,21
5,201614,5025,26
6,221103,4305,18
7,202460,3541,16
8,206289,3391,23
9,214082,3275,25
10,201520,3162,16
11,206368,2950,22
12,202505,2750,20
13,206252,2680,22
14,206242,2420,24
15,214643,2236,21
16,201662,2160,22
17,211533,2130,21
18,201458,2087,16
19,221012,1998,20
20,201619,1861,19
21,202663,1825,26
22,202499,1813,21
23,206420,1725,21
24,203354,1667,23
25,215713,1665,24
26,211843,1657,26
27,201593,1452,17
28,210722,1439,24
29,211651,1363,21
30,201585,1360,21
31,201533,1355,30
32,201514,1327,20
33,213631,1318,21
34,201603,1303,19
35,201594,1290,12
36,211095,1284,24
37,202429,1278,18
38,201549,1270,19
39,216146,1225,21
40,202684,1175,24
41,219875,1147,35
42,215370,1142,17
43,214096,1125,16
44,220714,1115,26
45,219917,1097,30
46,203389,1073,18
47,201548,1072,12
48,211701,1057,21
49,220367,1052,19
50,222328,1050,22
51,205925,1034,23
52,201616,1021,26
53,211148,1005,26
54,210886,990,22
55,214939,985,23
56,215020,983,32
57,216083,979,24
58,201709,975,21
59,222258,963,21
60,214954,936,13
61,211814,929,33
62,201427,920,25
63,202536,918,23
64,216016,909,21
65,214459,902,29
66,201615,883,17
67,213583,855,33
68,203575,852,23
69,220548,851,25
70,213710,820,30
71,214119,816,27
72,202600,809,28
73,201506,802,34
74,201466,797,22
75,215613,790,27
76,215898,789,24
77,213525,785,24
78,204426,779,14
79,220348,764,31
80,216133,763,30
81,201606,758,24
82,215872,750,29
83,203462,748,27
84,204434,746,27
85,201590,741,17
86,215785,739,21
87,202490,730,19
88,211684,720,35
89,202628,717,22
90,216153,699,13
91,204431,698,24
92,220465,690,26
93,206124,683,28
94,203463,679,30
95,201483,677,27
96,216262,675,26
97,215910,675,27
98,213646,674,27
99,202421,667,14
100,203533,666,28
101,214452,665,28
102,214906,659,24
103,206408,639,25
104,214388,635,27
105,215337,625,22
106,214593,620,29
107,221054,619,15
108,223670,616,21
109,203501,609,16
110,214040,607,30
111,214839,607,22
112,214461,604,26
113,211702,589,29
114,201551,586,30
115,201696,585,19
116,206294,584,24
117,204294,584,26
118,211337,576,30
119,216097,574,27
120,213889,569,21
121,213550,568,22
122,206219,567,34
123,211316,566,30
124,206417,561,24
125,211107,546,19
126,203530,545,21
127,220704,541,21
128,215899,540,29
129,211713,540,24
130,215453,533,30
131,211901,531,26
132,204427,529,15
133,202434,522,11
134,220589,522,27
135,211279,521,27
136,214149,520,28
137,201611,514,10
138,215037,509,24
139,206007,498,30
140,201518,488,25
141,214684,485,19
142,221236,483,24
143,259799,481,11
144,215035,480,28
145,220416,480,31
146,259104,477,15
147,222965,469,26
148,202436,466,38
149,213837,463,32
150,220699,459,27
151,214604,458,30
152,215096,455,28
153,221257,452,30
154,211880,451,26
155,216265,451,23
156,220332,442,20
157,211817,435,24
158,202604,434,35
159,223087,434,20
160,214405,433,23
161,220742,432,27
162,215042,431,16
163,221909,428,28
164,220750,426,27
165,201535,420,16
166,201540,420,34
167,221905,420,21
168,202469,416,12
169,221124,416,20
170,203500,415,23
171,204291,414,21
172,221407,413,21
173,211951,413,23
